Field ID,Crop_Lucerne/Medics,Crop_Planted pastures (perennial),Crop_Fallow,Crop_Wine grapes,Crop_Weeds,Crop_Small grain grazing,Crop_Wheat,Crop_Canola,Crop_Rooibos
5,4.1284934e-06,3.4691937e-05,1.3306415e-08,5.6272584e-06,2.7472197e-08,0.004925578,0.9911814,0.003848464,1.341721e-09
10,0.2257195,0.6258174,0.016714813,0.0010448744,0.007133731,0.10597789,0.012205136,0.004885706,0.00050094014
11,0.14578183,0.4376033,0.0035294923,0.00032723873,0.002854581,0.38172522,0.013288069,0.014797794,9.2569324e-05
17,0.00020071343,0.008122216,0.3868369,7.6840326e-05,0.37757957,0.21158008,0.0006382269,1.7870258e-05,0.014947593
18,0.001085611,0.24916986,0.09511567,0.009620456,0.6383551,0.0061762896,8.927267e-05,1.1281178e-05,0.00037648217
27,0.9453052,0.027286772,0.00043383814,3.0307326e-06,0.0001270303,0.016278127,0.010096628,0.00046398357,5.353528e-06
30,0.027454283,0.26135147,0.026682124,0.00039233192,0.38747355,0.25361538,0.02986436,0.0036596246,0.009506891
31,0.00893149,0.46056086,0.0073790364,0.47294846,0.03208694,0.015322393,0.0025382028,0.00019378278,3.882667e-05
32,0.006307701,0.11727707,0.013333114,0.7965137,0.060999326,0.003553876,0.0019799175,3.0768795e-05,4.5300962e-06
39,0.89194804,0.080426246,0.0135039445,0.0034202295,0.0069912174,0.0036600162,3.9448772e-05,5.6559347e-06,5.2788855e-06
41,0.0007027336,0.0010397846,0.007858386,0.98546803,0.0049006357,2.890341e-05,1.4576771e-06,2.5837641e-08,1.2130944e-07
48,0.40537816,0.5798884,0.0011911383,0.0005951209,0.001385253,0.009710704,0.0009948186,0.0008183929,3.795317e-05
49,0.0060669463,0.22372249,9.056232e-05,1.6056812e-05,0.0003632051,0.7423062,0.025769,0.0016564525,9.15835e-06
53,0.34112158,0.55052614,0.0040617706,0.021312812,0.082065776,0.0006232265,0.00011377648,4.7089266e-05,0.00012779905
54,2.451555e-06,6.4159804e-07,2.332675e-05,0.99995816,1.5532894e-05,9.645559e-11,2.6529398e-11,4.7969916e-16,6.278758e-14
56,0.7710962,0.026535979,0.0010788149,1.5026623e-05,0.0004065595,0.17597975,0.020871405,0.003988256,2.801249e-05
59,0.0011959823,0.62400925,0.010228401,0.0006191967,0.2104282,0.14826365,0.0041519105,0.00010364142,0.0009998222
60,0.0024952232,0.0056550996,0.00022428588,0.000118784155,2.9515897e-05,0.9019524,0.08944823,7.578125e-05,7.300072e-07
64,0.0090764705,0.072945036,0.031163901,0.8729377,0.013580454,0.00024383378,4.3154192e-05,2.53481e-06,6.9454136e-06
67,0.01044484,0.010986337,0.00014863713,0.00047600307,0.00010901618,0.09084672,0.7802933,0.1066398,5.5353205e-05
75,0.13591081,0.066470996,0.069098905,0.0032582413,0.0045360466,0.6119734,0.100936115,0.007666786,0.00014868699
83,0.018053964,0.0008493825,0.00013290333,2.4369661e-05,1.317244e-05,0.03841482,0.94247645,3.4123812e-05,8.4553596e-07
84,0.0010352529,0.4315237,0.0008183292,0.00051316107,0.069047384,0.0001188581,8.537177e-06,8.349012e-06,0.49692646
97,0.10542462,0.3186864,0.011909277,0.004853639,0.007812945,0.05018714,0.11270614,0.38665187,0.0017680114
98,0.7978347,0.0036353343,0.0009805941,1.0813343e-06,9.2429174e-05,0.19430664,0.0018068675,0.0013403229,2.0270386e-06
102,1.638285e-05,0.0036278074,0.00093259243,0.99488735,0.0005350096,6.4460025e-08,7.859576e-07,5.2606204e-11,1.6502096e-10
103,0.22039068,0.23610342,0.014970327,0.00085138844,0.18069956,0.30203956,0.02887308,0.006584802,0.009487169
